"filename", "language", "YAML", "Dart", "Markdown", "CSS", "JavaScript", "JSON", "Swift", "C++", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\textfields\main_textfield.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\app\app_constants.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\app\router_contants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\enums\file_type_enum.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\enums\locale_keys_enum.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\enums\status_keys_enum.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\other_constant\icon_names.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\sizes_constant\app_sized_box.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\sizes_constant\project_button_sizes.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\sizes_constant\project_card_sizes.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\sizes_constant\project_icon_sizes.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\sizes_constant\project_padding.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\sizes_constant\project_radius.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\string_constant\app_firestore_field_names.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\string_constant\path_constants.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\string_constant\project_firestore_collection_names.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 19
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\constants\string_constant\project_lottie_urls.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\extension\string_lang_extension.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\gen\assets.gen.dart", "Dart", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 49, 227
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\cache\locale_manager.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\google_ads\ads_state.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\init\lang\language_manager.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
