"filename", "language", "YAML", "JSON", "Shell Script", "Markdown", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\theme\light_theme\light_theme.dart", "Dart", 0, 0, 0, 0, 60, 6, 12, 78
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\theme\light_theme\light_theme_colors.dart", "Dart", 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view.dart", "Dart", 0, 0, 0, 0, -110, 0, -14, -124
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view_model.dart", "Dart", 0, 0, 0, 0, -16, 0, -2, -18
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\button.dart", "Dart", 0, 0, 0, 0, -45, 0, -6, -51
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\dialogs\default_dialog.dart", "Dart", 0, 0, 0, 0, -14, 0, -2, -16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\dialogs\error_dialog.dart", "Dart", 0, 0, 0, 0, -18, 0, -3, -21
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\single_message.dart", "Dart", 0, 0, 0, 0, -36, 0, -5, -41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\textfields\auth_textfield.dart", "Dart", 0, 0, 0, 0, -75, 0, -9, -84
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\textfields\main_textfield.dart", "Dart", 0, 0, 0, 0, -61, 0, -4, -65
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\main.dart", "Dart", 0, 0, 0, 0, 13, -20, 0, -7
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\core\components\select_app_widget.dart", "Dart", 0, 0, 0, 0, 64, 0, 7, 71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding.dart", "Dart", 0, 0, 0, 0, -136, -3, -20, -159
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_view_model.dart", "Dart", 0, 0, 0, 0, -18, 0, -2, -20
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view.dart", "Dart", 0, 0, 0, 0, -39, -1, -6, -46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, -2, -2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view.dart", "Dart", 0, 0, 0, 0, -39, -1, -7, -47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view.dart", "Dart", 0, 0, 0, 0, -39, -1, -7, -47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, -2, -2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view.dart", "Dart", 0, 0, 0, 0, -109, 0, -13, -122
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, -2, -2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_widgets\select_app_widget.dart", "Dart", 0, 0, 0, 0, -64, 0, -7, -71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\view\select_app_view.dart", "Dart", 0, 0, 0, 0, 105, 0, 13, 118
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\viewmodel\select_app_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\theme\light_theme\light_theme.dart", "Dart", 0, 0, 0, 0, -50, -6, -9, -65
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\theme\light_theme\light_theme_colors.dart", "Dart", 0, 0, 0, 0, -14, 0, -2, -16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\asset_utils\assets_build_constant\image_build_constant.dart", "Dart", 0, 0, 0, 0, -3, 0, -1, -4
