"filename", "language", "YAML", "XML", "Dart", "JSON", "HTML", "Shell Script", "Markdown", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\image\image_constants.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\other_constant\icon_names.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\app_sized_box.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_button_sizes.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_card_sizes.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_icon_sizes.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_padding.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_radius.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\app_firestore_field_names.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\path_constants.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\project_firestore_collection_names.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\project_lottie_urls.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\extension\string_lang_extension.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\cache\locale_manager.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\lang\language_manager.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\lang\locale_keys.g.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 78
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\theme\app_theme.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\theme\light_theme\light_theme.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 78
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\theme\light_theme\light_theme_colors.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\main.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\core\components\select_app_widget.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\view\select_app_view.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 118
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\viewmodel\select_app_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\asset_utils\compress_utils.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 50
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\widget_utility\fav_button_service.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\pubspec.yaml", "YAML", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 93
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\scripts\lang.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\test\widget_test.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 29
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\web\index.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 16, 6, 59
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 48, 322, 4588, 3551, 37, 1, 20, 91, 8, 1, 12, 170, 708, 9557
