"filename", "language", "YAML", "Dart", "JSON", "XML", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\viewmodel\onboarding_view_model.dart", "Dart", 0, -14, 0, 0, 0, -2, -16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\service\auth_service.dart", "Dart", 0, -40, 0, 0, 0, -6, -46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\view\login_view.dart", "Dart", 0, -126, 0, 0, -1, -17, -144
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\view\register_view.dart", "Dart", 0, -137, 0, 0, -1, -20, -158
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\viewmodel\login_view_model.dart", "Dart", 0, -22, 0, 0, 0, -2, -24
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\viewmodel\register_view_model.dart", "Dart", 0, -23, 0, 0, 0, -2, -25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\start\core\components\select_app_widget.dart", "Dart", 0, -60, 0, 0, 0, -7, -67
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\start\view\select_app_view.dart", "Dart", 0, -121, 0, 0, 0, -15, -136
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\start\viewmodel\select_app_view_model.dart", "Dart", 0, 0, 0, 0, 0, -2, -2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\animal_report\view\animal_report_home_view.dart", "Dart", 0, 284, 0, 0, 0, 29, 313
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\animal_report\view\main_animal_report.dart", "Dart", 0, 9, 0, 0, 0, 3, 12
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\animal_report\viewmodel\animal_report_home_view_view_model.dart", "Dart", 0, 78, 0, 0, 1, 15, 94
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\animal_report\viewmodel\animal_report_home_view_view_model.g.dart", "Dart", 0, 86, 0, 0, 5, 22, 113
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\core\components\chat_widgets\user_chat.dart", "Dart", 0, 44, 0, 0, 1, 6, 51
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\core\components\pet_widgets\large_pet_widget.dart", "Dart", 0, 198, 0, 0, 1, 23, 222
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\core\components\pet_widgets\normal_pet_widget.dart", "Dart", 0, 167, 0, 0, 1, 21, 189
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\service\chat_service\chat_service.dart", "Dart", 0, 67, 0, 0, 0, 4, 71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\service\firebase_crud\crud_service.dart", "Dart", 0, 36, 0, 0, 1, 4, 41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\service\models\jsons\city_model.dart", "Dart", 0, 36, 0, 0, 0, 10, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\service\models\pet_model.dart", "Dart", 0, 32, 0, 0, 0, 2, 34
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\service\storage_service.dart\storage_crud.dart", "Dart", 0, 20, 0, 0, 0, 5, 25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\add_view.dart", "Dart", 0, 241, 0, 0, 4, 24, 269
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\add_view_two.dart", "Dart", 0, 352, 0, 0, 1, 42, 395
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\chat_select_view.dart", "Dart", 0, 87, 0, 0, 1, 15, 103
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\city_select_view.dart", "Dart", 0, 29, 0, 0, 1, 4, 34
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\favorites_view.dart", "Dart", 0, 112, 0, 0, 1, 18, 131
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\ilce_select_view.dart", "Dart", 0, 33, 0, 0, 1, 8, 42
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\in_chat_view.dart", "Dart", 0, 182, 0, 0, 0, 20, 202
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\user\apps\main_petilla\view\main_petilla.dart", "Dart", 0, 89, 0, 0, 0, 15, 104
