"filename", "language", "YAML", "Dart", "Markdown", "JSON", "Groovy", "HTML", "XML", "C++", "Swift", "Properties", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\pet_widgets\normal_pet_widget.dart", "Dart", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 216
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\main_pet_form.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_group\group_template_view.dart", "Dart", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 178
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_group\group_template_view_model.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_home\petform_home_view.dart", "Dart", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 148
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_home\petform_home_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_media\main_pet_media.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_service\auth_service.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view\login_view.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 143
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view\login_view_model.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view.dart", "Dart", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 157
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view_model.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\localization\localization.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 75
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\other_constant\icon_names.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\app_sized_box.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_button_sizes.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_card_sizes.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
