"filename", "language", "JSON", "XML", "HTML", "Dart", "Markdown", "YAML", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\add_view.dart", "Dart", 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 4, 24, 269
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\add_view_two.dart", "Dart", 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 1, 44, 405
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\chat_select_view.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 1, 15, 103
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\city_select_view.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 4, 34
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\favorites_view.dart", "Dart", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 1, 18, 131
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\ilce_select_view.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 8, 42
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\in_chat_view.dart", "Dart", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 20, 202
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\patilla.dart", "Dart", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 15, 104
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\other_profile_view.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 15, 109
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\petilla_detail_view.dart", "Dart", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 27, 224
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\petilla_home_view.dart", "Dart", 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 34, 426
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\petilla_insert_view.dart", "Dart", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 15, 116
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\add_view_two_view_model.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 10, 102
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\add_view_two_view_model.g.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 5, 12, 95
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\add_view_view_model.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 13, 65
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\add_view_view_model.g.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 5, 17, 83
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\chat_select_view_model.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 8, 60
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\chat_select_view_model.g.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 9, 52
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\favorites_view_view_model.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 11, 42
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\favorites_view_view_model.g.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 16, 77
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\in_chat_view_view_model.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\in_chat_view_view_model.g.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 8, 41
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\patilla_view_model.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\patilla_view_model.g.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 6, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\other_profile_view_view_model.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\other_profile_view_view_model.g.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 6, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\petilla_detail_view_view_model.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 12, 62
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\viewmodel\petilla_detail_view_view_model.g.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 5, 18, 83
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\main_pet_form.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\service\group_message_service.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\view\group_template_view.dart", "Dart", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 23, 206
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\view\petform_home_view.dart", "Dart", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 1, 21, 176
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\viewmodel\group_template_view_model.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 8, 36
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\viewmodel\group_template_view_model.g.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 9, 44
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\viewmodel\petform_home_view_model.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 9, 71
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\viewmodel\petform_home_view_model.g.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 12, 73
